id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
NER,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.03,-0.03,-0.02,-0.02,0,0,0.03,0.03,0.03
NGA,-0.13,-0.11,-0.07,-0.1,-0.21,-0.21,-0.18,-0.17,-0.21,-0.2,0.08,0.14,0.19,0.23,0.23,0.22,0.15,0.11,0.1,-0.04,0.04,0.05,0.05,0.03,0.01
NIC,-0.11,-0.25,-0.17,-0.2,-0.16,-0.12,-0.11,-0.07,-0.02,0.01,0.03,0.06,0.06,0.12,0.11,0.08,0.1,0.11,0.07,0.07,0.07,0.12,0.06,0.04,0.09
NLD,-0.31,0.05,-0.23,-0.13,-0.16,0.65,1.06,0.51,0.45,0.07,-0.01,0.11,0.34,0.32,0.44,0.21,0.08,-0.12,-0.15,-0.48,0.11,-0.48,-0.74,-0.6,-0.99
NOR,-1.72,-1.62,-1.68,-1,-1.33,-1.48,-1.53,-0.95,-0.62,-0.03,-0.31,0.14,-0.77,0.76,0.14,0.03,0.35,0.43,2.53,2.31,3.15,-0.02,0.79,2.3,0.12
NPL,-0.09,-0.08,-0.06,-0.06,-0.05,-0.03,-0.01,0,-0.03,0.01,0,0.01,-0.02,-0.01,-0.02,-0.01,-0.03,-0.03,0,0.03,0.06,0.07,0.08,0.11,0.16
NZL,-0.75,-0.93,-0.72,-0.35,-0.45,-0.44,-0.15,0.38,0.05,0.69,0.73,1.06,0.59,0.64,0.63,0.44,0.17,0.14,0.21,-0.29,-0.52,-0.64,-0.07,-0.29,-0.13
OMN,-4.87,-4.93,-5.06,-4.66,-4.03,-3.94,-4.4,-4.27,-3.8,-1.97,-1.5,-2.31,-0.24,2.43,0.3,0.75,4.18,5.26,4.33,3.11,4.44,5.54,5.93,5.39,4.29
PAK,-0.17,-0.19,-0.17,-0.14,-0.1,-0.12,-0.06,-0.08,-0.07,-0.07,-0.04,-0.05,-0.02,0,0.06,0.08,0.12,0.18,0.16,0.14,0.14,0.12,0.11,0.09,0.09
PAN,-0.85,-0.69,-0.33,-0.48,-0.36,-0.88,-0.32,0,0.07,-0.07,-0.06,0.29,-0.11,-0.06,-0.2,0.08,0.2,0.11,0.12,0.43,0.54,0.75,0.71,0.82,0.28
PER,-0.32,-0.38,-0.39,-0.27,-0.3,-0.29,-0.29,-0.18,-0.18,-0.14,-0.12,-0.25,-0.26,-0.31,-0.12,0.06,-0.04,0.23,0.15,0.5,0.67,0.38,0.54,0.58,0.71
